customer_id,first_name,last_name,full_name,account_number,account_type,balance,account_open_date,last_transaction_date,address,city,state,zip_code,risk_score,account_status,monthly_income,created_timestamp
CUST_000001,Sarah,Smith,Sarah Smith,ACC_896233790,CREDIT,-7551.08,2023-12-02,2025-07-02 23:08:30,1779 Second St,Columbus,NY,13905,395,ACTIVE,10224.22,2025-07-25 23:08:30
CUST_000002,Elizabeth,Miller,Elizabeth Miller,ACC_868820204,LOAN,-58467.54,2020-06-12,2025-07-07 23:08:30,4657 Main Ave,Columbus,PA,46421,459,ACTIVE,7039.13,2025-07-25 23:08:30
CUST_000003,Michael,Gonzalez,Michael Gonzalez,ACC_203848421,CREDIT,-1525.06,2018-09-18,2025-07-17 23:08:30,811 Second Dr,Boston,CA,59615,380,DORMANT,10543.68,2025-07-25 23:08:30
CUST_000004,Mary,Jackson,Mary Jackson,ACC_306468299,CHECKING,2386.64,2022-12-05,2025-07-01 23:08:30,4841 Main Ave,Houston,FL,46434,764,CLOSED,4951.85,2025-07-25 23:08:30
CUST_000005,Mary,Miller,Mary Miller,ACC_819595113,CREDIT,-2981.8,2017-10-26,2025-07-05 23:08:30,1269 First Ave,Boston,OH,42087,467,ACTIVE,14874.28,2025-07-25 23:08:30
CUST_000006,Elizabeth,Davis,Elizabeth Davis,ACC_835098955,CREDIT,-1571.48,2016-10-12,2025-07-24 23:08:30,3852 Main Blvd,Fort Worth,AZ,18675,516,DORMANT,6776.13,2025-07-25 23:08:30
CUST_000007,Linda,Gonzalez,Linda Gonzalez,ACC_790256940,INVESTMENT,72292.92,2023-12-02,2025-07-18 23:08:30,9297 First Blvd,Columbus,MA,62350,670,ACTIVE,4659.98,2025-07-25 23:08:30
CUST_000008,Linda,Williams,Linda Williams,ACC_911514914,CHECKING,43069.04,2023-10-08,2025-07-05 23:08:30,2721 Second Dr,Chicago,FL,60019,779,DORMANT,9638.71,2025-07-25 23:08:30
CUST_000009,John,Brown,John Brown,ACC_831980933,LOAN,-25663.1,2016-11-11,2025-07-05 23:08:30,5673 Main Blvd,Columbus,IL,69470,303,CLOSED,6160.67,2025-07-25 23:08:30
CUST_000010,Matthew,Garcia,Matthew Garcia,ACC_645119047,CHECKING,43538.88,2022-02-19,2025-06-29 23:08:30,8417 First Ave,Phoenix,PA,31174,843,ACTIVE,8863.27,2025-07-25 23:08:30
CUST_000011,Sarah,Lopez,Sarah Lopez,ACC_992994062,CREDIT,-7605.48,2022-10-13,2025-06-27 23:08:30,9395 Main St,Seattle,CA,79822,428,ACTIVE,14362.18,2025-07-25 23:08:30
CUST_000012,Emily,Rodriguez,Emily Rodriguez,ACC_666585408,LOAN,-58109.34,2023-02-09,2025-06-26 23:08:30,8935 Second Ave,San Jose,FL,98039,682,ACTIVE,8417.83,2025-07-25 23:08:30
CUST_000013,Lisa,Davis,Lisa Davis,ACC_168747287,CREDIT,-9789.66,2019-04-10,2025-07-18 23:08:30,9741 Oak St,Chicago,OH,92719,360,ACTIVE,,2025-07-25 23:08:30
CUST_000014,Jane,Hernandez,Jane Hernandez,ACC_176082500,LOAN,-76437.54,2017-12-24,2025-07-10 23:08:30,3610 First Ave,Seattle,TX,71993,716,ACTIVE,,2025-07-25 23:08:30
CUST_000015,Patricia,Lopez,Patricia Lopez,ACC_554814084,INVESTMENT,234045.31,2017-04-22,2025-07-24 23:08:30,1712 Main Dr,Austin,CA,42591,496,ACTIVE,4682.19,2025-07-25 23:08:30
CUST_000016,Emily,Rodriguez,Emily Rodriguez,ACC_596743109,SAVINGS,87511.35,2024-08-21,2025-07-11 23:08:30,9116 Main St,Boston,NY,22224,542,ACTIVE,8776.3,2025-07-25 23:08:30
CUST_000017,Christopher,Johnson,Christopher Johnson,ACC_276777762,INVESTMENT,2075.53,2021-02-07,2025-07-17 23:08:30,7554 Pine Dr,Boston,NC,73788,458,ACTIVE,14624.51,2025-07-25 23:08:30
CUST_000018,Anthony,Moore,Anthony Moore,ACC_165452690,CREDIT,-9428.35,2018-12-07,2025-07-10 23:08:30,8338 First Ave,Los Angeles,CO,20500,490,ACTIVE,11102.55,2025-07-25 23:08:30
