transaction_id,account_number,transaction_type,amount,transaction_date,transaction_timestamp,channel,merchant,transaction_city,transaction_state,status,is_fraudulent,processing_fee,created_timestamp
TXN_00000001,ACC_786579303,DEPOSIT,222.55,2025-06-20,2025-06-20 23:08:30,ONLINE,,Los Angeles,CA,COMPLETED,False,0.0,2025-07-25 23:08:30
TXN_00000002,ACC_193349856,FEE,-29.96,2025-07-22,2025-07-22 23:08:30,ATM,,Los Angeles,CA,FAILED,False,0.09,2025-07-25 23:08:30
TXN_00000003,ACC_313500298,INTEREST,65.16,2025-05-17,2025-05-17 23:08:30,BRANCH,,Los Angeles,TX,FAILED,False,2.83,2025-07-25 23:08:30
TXN_00000004,ACC_106977991,WITHDRAWAL,-157.91,2025-06-12,2025-06-12 23:08:30,MOBILE,Target,Los Angeles,IL,COMPLETED,True,1.33,2025-07-25 23:08:30
TXN_00000005,ACC_485451171,TRANSFER,414.9,2025-07-20,2025-07-20 23:08:30,BRANCH,,Phoenix,NY,PENDING,True,1.93,2025-07-25 23:08:30
TXN_00000006,ACC_990566476,INTEREST,62.04,2025-06-09,2025-06-09 23:08:30,PHONE,,Los Angeles,NY,COMPLETED,False,2.71,2025-07-25 23:08:30
TXN_00000007,ACC_185675980,WITHDRAWAL,-75.42,2025-06-07,2025-06-07 23:08:30,MOBILE,Netflix,Chicago,CA,COMPLETED,False,0.73,2025-07-25 23:08:30
TXN_00000008,ACC_386665249,INTEREST,93.7,2025-05-04,2025-05-04 23:08:30,ATM,,Phoenix,CA,FAILED,False,0.57,2025-07-25 23:08:30
TXN_00000009,ACC_507437181,TRANSFER,1958.09,2025-05-05,2025-05-05 23:08:30,PHONE,,Los Angeles,IL,COMPLETED,False,2.88,2025-07-25 23:08:30
TXN_00000010,ACC_964411347,TRANSFER,-395.34,2025-07-17,2025-07-17 23:08:30,ONLINE,,Phoenix,IL,COMPLETED,False,1.38,2025-07-25 23:08:30
TXN_00000011,ACC_790256940,PAYMENT,-857.84,2025-07-08,2025-07-08 23:08:30,ONLINE,Spotify,Phoenix,IL,FAILED,False,3.14,2025-07-25 23:08:30
TXN_00000012,ACC_528853029,TRANSFER,-1122.72,2025-07-08,2025-07-08 23:08:30,PHONE,,Houston,NY,COMPLETED,True,0.53,2025-07-25 23:08:30
